Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
405,Activision Blizzard,"$7,500.0",6.9%,"$1,813.0",564.1%,"$17,835.0","$34,777.4",-4,"9,900",-4,2019,0,0
406,Weyerhaeuser,"$7,476.0",3.9%,$748.0,28.5%,"$17,249.0","$19,663.4",-12,"9,300",-12,2019,0,0
407,Raymond James Financial,"$7,475.8",14.6%,$856.7,34.7%,"$37,412.9","$11,340.9",24,"13,900",24,2019,0,0
408,Casey's General Stores,"$7,472.1",12.5%,$317.9,79.1%,"$3,469.9","$4,716.9",17,"27,561",17,2019,0,0
409,Keurig Dr Pepper,"$7,442.0",11.2%,$586.0,-45.5%,"$48,918.0","$39,328.1",9,"25,500",9,2019,0,0
410,American Tower,"$7,440.1",11.6%,"$1,236.4",-0.2%,"$33,010.4","$86,930.0",9,"5,026",9,2019,0,0
411,Apache,"$7,424.0",15.6%,$40.0,-96.9%,"$21,582.0","$13,011.6",27,"3,420",27,2019,0,0
412,Dover,"$7,395.8",-5.6%,$570.3,-29.7%,"$8,365.8","$13,621.0",-52,"24,000",-52,2019,0,0
413,KeyCorp,"$7,393.0",7.6%,"$1,866.0",44.0%,"$139,613.0","$15,888.4",-1,"18,180",-1,2019,1,0
414,J.M. Smucker,"$7,357.1",-0.5%,"$1,338.6",126.0%,"$15,301.2","$13,251.5",-31,"7,000",-31,2019,0,0
415,Citizens Financial Group,"$7,354.0",13.9%,"$1,721.0",4.2%,"$160,518.0","$14,962.7",20,"18,140",20,2019,0,0
416,Motorola Solutions,"$7,343.0",15.1%,$966.0,-,"$9,409.0","$23,089.5",27,"16,000",27,2019,0,0
417,Magellan Health,"$7,314.2",25.3%,$24.2,-78.1%,"$2,979.1","$1,577.2",58,"10,500",58,2019,0,0
418,American Axle & Manufacturing,"$7,270.4",16.0%,$-57.5,-117.1%,"$7,510.7","$1,599.0",31,"25,000",31,2019,0,0
419,Newmont Goldcorp,"$7,253.0",-1.3%,$341.0,-,"$20,715.0","$19,053.6",-34,"12,442",-34,2019,0,0
420,Spirit AeroSystems Holdings,"$7,222.0",3.4%,$617.0,73.9%,"$5,685.9","$9,672.1",-15,"17,000",-15,2019,0,0
421,Western & Southern Financial Group,"$7,205.0",23.5%,$495.0,59.4%,"$50,635.5",-,55,"2,769",55,2019,0,0
422,Fortive,"$7,203.2",8.2%,"$2,913.8",179.0%,"$12,905.6","$28,072.2",-2,"24,000",-2,2019,0,0
423,Graybar Electric,"$7,202.5",8.6%,$143.3,100.1%,"$2,491.2",-,3,"8,700",3,2019,1,0
424,NVR,"$7,189.7",13.7%,$797.2,48.3%,"$3,165.9","$10,036.5",20,"5,600",20,2019,0,0
425,Avery Dennison,"$7,159.0",8.2%,$467.4,65.9%,"$5,177.5","$9,488.9",2,"30,000",2,2019,0,0
426,Celanese,"$7,155.0",16.5%,"$1,207.0",43.2%,"$9,313.0","$12,606.6",29,"7,684",29,2019,1,0
427,American Financial Group,"$7,150.0",4.2%,$530.0,11.6%,"$63,456.0","$8,592.7",-14,"7,600",-14,2019,0,0
428,Toll Brothers,"$7,143.3",22.8%,$748.2,39.7%,"$10,244.6","$5,283.0",52,"4,900",52,2019,0,0
429,Sanmina,"$7,110.1",3.5%,$-95.5,-168.8%,"$4,085.1","$1,974.2",-18,"41,200",-18,2019,0,0
430,Insight Enterprises,"$7,080.1",5.6%,$163.7,80.5%,"$2,775.9","$1,954.8",-13,"7,420",-13,2019,0,0
431,Owens Corning,"$7,057.0",10.5%,$545.0,88.6%,"$9,771.0","$5,163.4",11,"20,000",11,2019,0,0
432,Packaging Corp. of America,"$7,014.6",8.8%,$738.0,10.4%,"$6,569.7","$9,391.0",4,"15,000",4,2019,0,0
433,TravelCenters of America,"$6,973.6",15.2%,$-120.6,-1401.6%,"$1,442.1",$166.0,32,"18,277",32,2019,0,0
434,Olin,"$6,946.1",10.8%,$327.9,-40.3%,"$8,997.4","$3,815.5",14,"6,500",14,2019,0,0
435,Arthur J. Gallagher,"$6,934.0",12.6%,$633.5,36.8%,"$16,334.0","$14,466.1",19,"30,362",19,2019,0,0
436,MasTec,"$6,909.4",4.6%,$259.7,-25.2%,"$4,440.0","$3,656.9",-8,"19,000",-8,2019,0,0
437,Alleghany,"$6,887.2",7.2%,$39.5,-56.1%,"$25,344.9","$8,854.7",-,"9,300",-,2019,0,0
438,Owens-Illinois,"$6,877.0",0.1%,$257.0,42.8%,"$9,699.0","$2,915.8",-28,"26,500",-28,2019,0,0
439,Asbury Automotive Group,"$6,874.4",6.5%,$168.0,20.8%,"$2,695.4","$1,352.5",-5,"8,200",-5,2019,0,0
440,CMS Energy,"$6,873.0",4.4%,$657.0,42.8%,"$24,529.0","$15,760.0",-11,"8,291",-11,2019,1,0
441,Markel,"$6,841.3",12.9%,$-128.2,-132.4%,"$33,306.3","$13,813.2",23,"17,400",23,2019,0,0
442,Blackstone Group,"$6,833.3",-4.0%,"$1,541.8",4.8%,"$28,924.7","$23,030.9",-44,"2,615",-44,2019,0,1
443,AK Steel Holding,"$6,818.2",12.1%,$186.0,2900.0%,"$4,515.7",$869.8,18,"9,500",18,2019,0,0
444,Hanesbrands,"$6,804.0",5.0%,$553.1,793.6%,"$7,256.0","$6,463.1",-11,"68,000",-11,2019,0,0
445,R.R. Donnelley & Sons,"$6,800.2",-2.0%,$-11.0,-,"$3,640.8",$332.5,-39,"39,500",-39,2019,0,0
446,Wayfair,"$6,779.2",43.6%,$-504.1,-,"$1,890.9","$13,524.3",99,"12,124",-,2019,0,1
447,Regions Financial,"$6,762.0",11.0%,"$1,759.0",39.3%,"$125,688.0","$14,401.0",13,"19,969",13,2019,0,0
448,Wynn Resorts,"$6,717.7",6.5%,$572.4,-23.4%,"$13,216.3","$12,843.5",-1,"26,000",-1,2019,0,0
449,Ulta Beauty,"$6,716.6",14.1%,$658.6,18.6%,"$3,191.2","$20,683.9",22,"30,000",22,2019,1,0
450,Regeneron Pharmaceuticals,"$6,710.8",14.3%,"$2,444.4",104.0%,"$11,734.5","$44,871.4",23,"7,400",23,2019,0,1
451,Burlington Stores,"$6,668.5",9.1%,$414.7,7.8%,"$3,079.2","$10,509.6",8,"44,000",8,2019,0,0
452,Rockwell Automation,"$6,666.0",5.6%,$535.5,-35.1%,"$6,262.0","$20,975.2",-7,"23,000",-7,2019,0,0
453,Northern Trust,"$6,658.9",16.5%,"$1,556.4",29.8%,"$132,212.5","$19,754.4",33,"18,800",33,2019,0,0
454,Chemours,"$6,638.0",7.4%,$995.0,33.4%,"$7,362.0","$6,179.1",-3,"7,000",-3,2019,0,0
455,Seaboard,"$6,583.0",13.3%,$-17.0,-106.9%,"$5,307.0","$5,001.5",26,"12,600",26,2019,0,0
456,Marathon Oil,"$6,582.0",27.7%,"$1,096.0",-,"$21,321.0","$13,677.2",62,"2,400",-,2019,0,0
457,Ascena Retail Group,"$6,578.3",-1.1%,$-39.7,-,"$3,570.5",$213.4,-34,"39,500",-34,2019,0,0
458,Dillard's,"$6,503.3",1.3%,$170.3,-23.1%,"$3,431.4","$1,897.6",-19,"31,005",-19,2019,0,0
459,Cintas,"$6,487.4",19.5%,$842.6,75.3%,"$6,958.2","$21,207.8",41,"41,000",41,2019,0,0
460,Advanced Micro Devices,"$6,475.0",21.5%,$337.0,683.7%,"$4,556.0","$27,601.5",46,"10,100",-,2019,1,0
461,Hess,"$6,466.0",19.6%,$-282.0,-,"$21,433.0","$18,251.8",40,"1,708",-,2019,0,0
462,M&T Bank Corp.,"$6,454.7",7.2%,"$1,918.1",36.2%,"$120,097.4","$21,741.2",5,"16,840",5,2019,0,0
463,ABM Industries,"$6,442.2",18.1%,$97.8,2473.7%,"$3,627.5","$2,407.8",35,"140,000",35,2019,0,0
464,Beacon Roofing Supply,"$6,418.3",46.6%,$98.6,-2.2%,"$6,508.7","$2,201.0",105,"8,356",-,2019,0,0
465,NCR,"$6,405.0",-1.7%,$-88.0,-137.9%,"$7,761.0","$3,245.9",-33,"34,000",-33,2019,0,0
466,iHeartMedia,"$6,325.8",2.6%,$-201.9,-,"$12,269.5",$97.4,-14,"18,300",-14,2019,0,0
467,Franklin Resources,"$6,319.1",-1.1%,$764.4,-54.9%,"$14,383.5","$16,885.2",-26,"9,691",-26,2019,0,0
468,Ameren,"$6,291.0",1.8%,$815.0,55.8%,"$27,215.0","$18,050.6",-15,"8,838",-15,2019,0,0
469,Intercontinental Exchange,"$6,276.0",7.6%,"$1,988.0",-20.9%,"$92,791.0","$43,074.1",8,"5,161",8,2019,0,0
470,S&P Global,"$6,258.0",3.2%,"$1,958.0",30.9%,"$9,458.0","$51,812.4",-7,"21,200",-7,2019,0,0
471,Post Holdings,"$6,257.2",19.7%,$467.3,867.5%,"$13,057.5","$7,274.6",41,"11,550",-,2019,0,0
472,Analog Devices,"$6,200.9",21.4%,"$1,495.4",105.6%,"$20,449.8","$38,772.4",48,"15,800",-,2019,0,0
473,Ralph Lauren,"$6,182.3",-7.1%,$162.8,-,"$6,143.3","$10,195.7",-52,"18,150",-52,2019,0,0
474,L3Harris Technologies,"$6,182.0",-10.9%,$718.0,29.8%,"$9,839.0","$18,839.5",-67,"17,500",-67,2019,0,0
475,Booz Allen Hamilton,"$6,171.9",6.3%,$305.1,20.8%,"$3,603.4","$8,144.4",7,"24,600",7,2019,0,0
476,Polaris Industries,"$6,166.0",12.0%,$335.3,94.4%,"$4,124.9","$5,152.9",20,"12,000",20,2019,0,0
477,Clorox,"$6,124.0",2.5%,$823.0,17.4%,"$5,060.0","$20,565.2",-9,"8,700",-9,2019,0,0
478,Realogy Holdings,"$6,079.0",-0.6%,$137.0,-68.2%,"$7,290.0","$1,301.9",-20,"11,400",-20,2019,0,0
479,HD Supply Holdings,"$6,047.0",-7.5%,$394.0,-59.4%,"$4,233.0","$7,402.1",-49,"11,500",-49,2019,0,0
480,Graphic Packaging Holding,"$6,023.0",36.8%,$221.1,-26.3%,"$7,059.2","$3,733.3",85,"18,000",-,2019,0,0
481,Old Republic International,"$6,021.8",-3.9%,$370.5,-33.9%,"$19,327.1","$6,334.1",-31,"9,000",-31,2019,0,0
482,Intuit,"$5,964.0",15.2%,"$1,211.0",24.7%,"$5,178.0","$67,724.3",34,"8,900",-,2019,0,0
483,NetApp,"$5,911.0",7.1%,$76.0,-85.1%,"$9,865.0","$17,125.2",12,"10,300",12,2019,0,0
484,Tapestry,"$5,880.0",31.0%,$397.5,-32.7%,"$6,678.3","$9,421.4",71,"16,900",-,2019,0,0
485,ON Semiconductor,"$5,878.3",6.0%,$627.4,-22.6%,"$7,587.6","$8,474.8",7,"35,700",7,2019,0,0
486,Ingredion,"$5,841.0",0.2%,$443.0,-14.6%,"$5,728.0","$6,312.7",-8,"11,000",-8,2019,0,0
487,Zoetis,"$5,825.0",9.8%,"$1,428.0",65.3%,"$10,777.0","$48,198.0",20,"10,000",-,2019,1,0
488,Fiserv,"$5,823.0",2.2%,"$1,187.0",-4.7%,"$11,262.0","$34,603.1",-1,"24,000",-1,2019,0,0
489,TreeHouse Foods,"$5,812.1",-7.8%,$-61.4,-,"$5,599.3","$3,614.1",-43,"12,700",-43,2019,0,0
490,Robert Half International,"$5,800.3",10.1%,$434.3,49.5%,"$1,903.1","$7,759.2",21,"18,900",-,2019,0,0
491,First American Financial,"$5,747.8",-0.4%,$474.5,12.2%,"$10,630.6","$5,765.3",-8,"18,251",-8,2019,0,0
492,Harley-Davidson,"$5,716.9",1.2%,$531.5,1.9%,"$10,665.7","$5,670.7",-4,"5,900",-4,2019,0,0
493,Windstream Holdings,"$5,713.1",-2.4%,$-723.0,-,"$10,257.9",$12.9,-19,"11,945",-19,2019,0,0
494,Yum Brands,"$5,688.0",-3.2%,"$1,542.0",15.1%,"$4,130.0","$30,583.2",-22,"34,000",-22,2019,0,0
495,Williams-Sonoma,"$5,671.6",7.2%,$333.7,28.6%,"$2,812.8","$4,434.8",13,"19,800",-,2019,1,0
496,Simon Property Group,"$5,657.9",2.2%,"$2,440.1",25.3%,"$30,686.2","$56,301.7",-3,"4,150",-3,2019,0,0
497,Navient,"$5,610.0",8.3%,$395.0,35.3%,"$104,176.0","$2,828.9",18,"6,500",-,2019,0,0
498,Western Union,"$5,589.9",1.2%,$851.9,-,"$8,996.8","$8,050.9",-4,"12,000",-4,2019,0,0
499,Peabody Energy,"$5,581.8",0.1%,$646.9,-,"$7,423.7","$3,065.6",-8,"7,400",-8,2019,0,0
500,Levi Strauss,"$5,575.4",13.7%,$283.1,0.6%,"$3,542.7","$9,207.8",30,"15,100",-,2019,0,0
501,Avon Products,"$5,571.3",-2.5%,$-19.5,-188.6%,"$3,010.0","$1,300.7",-16,"23,000",-,2019,0,0
502,Host Hotels & Resorts,"$5,524.0",2.5%,"$1,087.0",92.7%,"$12,090.0","$13,994.9",-,184,-,2019,0,0
503,Kelly Services,"$5,513.9",2.6%,$22.9,-68.0%,"$2,314.4",$862.1,-,"7,900",-,2019,0,0
504,Rush Enterprises,"$5,506.2",16.8%,$139.1,-19.2%,"$3,201.4","$1,523.9",42,"7,214",-,2019,0,0
505,Spectrum Brands Holdings,"$5,505.5",-17.2%,$768.3,624.8%,"$7,747.7","$2,695.0",-83,"13,000",-,2019,0,0
506,Securian Financial Group,"$5,495.8",-9.4%,$322.4,-23.0%,"$51,887.8",-,-44,"5,300",-,2019,0,0
507,Diplomat Pharmacy,"$5,492.5",22.5%,$-302.3,-2048.9%,"$1,476.4",$432.8,49,"2,234",-,2019,0,0
508,Fortune Brands Home & Security,"$5,485.1",3.8%,$389.6,-17.6%,"$5,964.6","$6,707.0",1,"25,300",-,2019,0,0
509,TD Ameritrade Holding,"$5,473.0",48.5%,"$1,473.0",68.9%,"$37,520.0","$28,051.5",121,"9,183",-,2019,0,0
510,Patterson,"$5,465.7",-2.3%,$201.0,17.6%,"$3,471.7","$2,079.4",-20,"7,700",-,2019,0,0
511,Domtar,"$5,455.0",5.8%,$283.0,-,"$4,925.0","$3,124.2",6,"10,000",-,2019,0,0
512,FM Global,"$5,427.3",11.3%,$161.4,-36.5%,"$22,207.5",-,22,"5,475",-,2019,0,0
513,Crown Castle International,"$5,423.0",24.5%,$671.0,50.9%,"$32,785.0","$53,192.8",60,"5,000",-,2019,0,0
514,McCormick,"$5,408.9",11.9%,$933.4,95.5%,"$10,256.4","$19,874.0",25,"11,600",-,2019,0,0
515,Cincinnati Financial,"$5,407.5",-5.7%,$287.1,-72.5%,"$21,934.8","$14,012.7",-31,"4,999",-,2019,0,0
516,Hanover Insurance Group,"$5,406.7",4.3%,$391.0,110.0%,"$12,399.7","$4,645.5",-2,"4,200",-,2019,0,0
517,Conduent,"$5,393.0",-10.4%,$-416.0,-329.8%,"$6,680.0","$2,926.4",-51,"82,000",-,2019,0,0
518,Sonoco Products,"$5,390.9",7.0%,$313.6,78.8%,"$4,583.5","$6,155.1",5,"23,000",-,2019,0,0
519,T. Rowe Price,"$5,372.6",12.1%,"$1,837.5",22.7%,"$7,689.3","$23,699.0",21,"7,022",-,2019,0,0
520,Cerner,"$5,366.3",4.4%,$630.1,-27.3%,"$6,708.6","$18,556.7",-1,"29,200",-,2019,0,0
521,Knight-Swift Transportation Holdings,"$5,344.1",120.3%,$419.3,-13.4%,"$7,911.9","$5,653.9",328,"22,700",-,2019,0,0
522,RPM International,"$5,321.6",7.3%,$337.8,85.8%,"$5,271.8","$7,640.7",6,"14,540",-,2019,0,0
523,Michaels Cos.,"$5,271.9",-1.7%,$319.5,-18.2%,"$2,128.3","$1,801.8",-18,"29,500",-,2019,0,0
524,Huntington Bancshares,"$5,270.0",11.2%,"$1,393.0",17.5%,"$108,781.0","$13,326.1",20,"15,693",-,2019,0,0
525,Big Lots,"$5,238.1",-0.6%,$156.9,-17.4%,"$2,023.3","$1,522.6",-15,"23,250",-,2019,0,0
526,KKR,"$5,222.4",-11.9%,"$1,131.1",11.1%,"$50,743.4","$19,557.0",-56,"1,301",-,2019,0,1
527,Sprouts Farmers Market,"$5,207.3",11.6%,$158.5,0.1%,"$1,675.6","$2,663.9",23,"30,000",-,2019,0,0
528,Xylem,"$5,207.0",10.6%,$549.0,65.9%,"$7,222.0","$14,191.8",19,"17,000",-,2019,0,0
529,Under Armour,"$5,193.2",4.4%,$-46.3,-,"$4,245.0","$8,935.8",-2,"11,000",-,2019,0,1
530,Roper Technologies,"$5,191.2",12.7%,$944.4,-2.8%,"$15,249.5","$35,430.8",22,"15,611",-,2019,0,0
531,LPL Financial Holdings,"$5,188.4",21.2%,$439.5,84.0%,"$5,477.5","$5,873.9",51,"4,229",-,2019,0,0
532,Brunswick,"$5,159.2",5.3%,$265.3,81.2%,"$4,285.7","$4,380.6",-1,"16,038",-,2019,0,0
533,Electronic Arts,"$5,150.0",6.3%,"$1,043.0",7.9%,"$8,584.0","$30,447.9",4,"9,300",-,2019,0,0
534,Terex,"$5,125.0",17.5%,$113.7,-11.7%,"$3,485.9","$2,262.0",38,"11,700",-,2019,0,0
535,NiSource,"$5,114.5",4.9%,$-50.6,-139.4%,"$21,804.0","$10,675.7",-,"8,087",-,2019,0,0
536,Telephone & Data Systems,"$5,109.0",1.3%,$135.0,-11.8%,"$9,783.0","$3,497.8",-15,"9,400",-,2019,0,0
537,YRC Worldwide,"$5,092.0",4.1%,$20.2,-,"$1,617.1",$226.4,-5,"31,000",-,2019,0,0
538,Select Medical Holdings,"$5,081.3",14.4%,$137.8,-22.2%,"$5,964.3","$1,906.0",23,"40,400",-,2019,0,0
539,Equinix,"$5,071.7",16.1%,$365.4,56.8%,"$20,244.6","$37,933.0",32,"7,903",-,2019,0,0
540,Boise Cascade,"$4,995.3",12.7%,$20.5,-75.3%,"$1,581.2","$1,043.0",22,"6,210",-,2019,0,0
541,Noble Energy,"$4,986.0",17.2%,$-66.0,-,"$21,010.0","$11,959.0",42,"2,330",-,2019,0,0
542,Schneider National,"$4,977.0",13.5%,$268.9,-31.0%,"$3,624.5","$3,739.6",25,"19,400",-,2019,0,0
543,Genesis Healthcare,"$4,976.7",-7.4%,$-235.2,-,"$4,263.6",$233.0,-39,"61,300",-,2019,0,0
544,Fastenal,"$4,965.1",13.1%,$751.9,29.9%,"$3,321.5","$18,402.8",22,"21,644",-,2019,0,0
545,Commercial Metals,"$4,948.4",-1.0%,$138.5,198.9%,"$3,328.3","$2,014.1",-20,"8,900",-,2019,1,0
546,EQT,"$4,946.7",46.4%,"$-2,244.6",-248.8%,"$20,721.3","$5,283.8",137,863,-,2019,0,0
547,Agilent Technologies,"$4,914.0",9.9%,$316.0,-53.8%,"$8,541.0","$25,521.9",11,"14,800",-,2019,0,0
548,KBR,"$4,913.0",17.8%,$281.0,-35.3%,"$5,072.0","$2,691.9",41,"25,000",-,2019,0,0
549,Neiman Marcus Group,"$4,900.4",4.1%,$251.1,-,"$7,545.9",-,-1,"13,500",-,2019,0,0
550,NortonLifeLock,"$4,888.0",16.6%,"$1,138.0",-,"$15,759.0","$14,695.6",36,"11,830",-,2019,0,0
551,Chipotle Mexican Grill,"$4,865.0",8.7%,$176.6,0.2%,"$2,265.5","$19,693.7",6,"73,000",-,2019,0,0
552,Ametek,"$4,845.9",12.7%,$777.9,14.2%,"$8,662.3","$18,877.2",27,"18,200",-,2019,0,0
553,Camping World Holdings,"$4,792.0",11.8%,$10.4,-63.3%,"$2,806.7","$1,243.8",28,"11,835",-,2019,0,0
554,Smart & Final Stores,"$4,741.8",3.7%,$-112.2,-,"$1,711.9",$378.0,-1,"7,921",-,2019,0,0
555,Sealed Air,"$4,732.7",-22.8%,$193.1,-76.3%,"$5,050.2","$7,168.4",-99,"15,500",-,2019,0,0
556,FMC,"$4,731.6",37.5%,$502.1,-6.3%,"$9,974.3","$10,110.1",117,"7,300",-,2019,0,0
557,Continental Resources,"$4,709.6",50.9%,$988.3,25.2%,"$15,297.9","$16,834.2",163,"1,221",-,2019,0,0
558,Welltower,"$4,700.5",8.9%,$805.0,54.0%,"$30,342.1","$31,011.4",19,384,-,2019,0,0
559,Skechers U.S.A.,"$4,662.7",11.5%,$301.0,68.0%,"$3,228.3","$5,303.8",29,"9,000",-,2019,0,1
560,Science Applications International,"$4,659.0",4.6%,$137.0,-23.5%,"$4,563.0","$4,564.7",-1,"23,127",-,2019,0,0
561,Wyndham Destinations,"$4,651.0",-20.1%,$672.0,-22.8%,"$7,158.0","$3,824.8",-82,"24,500",-,2019,0,0
562,Juniper Networks,"$4,647.5",-7.6%,$566.9,85.1%,"$9,363.3","$9,209.5",-38,"9,283",-,2019,0,0
563,Coca-Cola Consolidated,"$4,625.4",7.0%,$-19.9,-120.6%,"$3,009.9","$2,698.0",13,"15,200",-,2019,0,0
564,Landstar System,"$4,619.0",26.6%,$255.3,44.2%,"$1,380.6","$4,388.4",74,"1,306",-,2019,0,0
565,National General Holdings,"$4,608.0",4.0%,$207.4,95.9%,"$9,439.3","$2,684.4",-2,"8,440",-,2019,0,0
566,ADT,"$4,581.7",6.2%,$-609.2,-277.8%,"$17,208.6","$4,834.7",12,"19,000",-,2019,0,0
567,Hasbro,"$4,579.6",-12.1%,$220.4,-44.4%,"$5,263.0","$10,699.1",-54,"5,800",-,2019,0,0
568,Diebold Nixdorf,"$4,578.6",-0.7%,$-568.7,-,"$4,311.9",$847.6,-17,"23,000",-,2019,0,0
569,CommScope Holding,"$4,568.5",0.2%,$140.2,-27.6%,"$6,630.5","$4,180.4",-15,"20,000",-,2019,0,0
570,Carlisle,"$4,549.0",11.2%,$611.1,67.2%,"$5,249.2","$7,013.7",25,"13,950",-,2019,0,0
571,KB Home,"$4,547.0",4.1%,$170.4,-5.7%,"$5,073.6","$2,101.0",-1,"2,005",-,2019,0,0
572,Watsco,"$4,546.7",4.7%,$242.9,16.7%,"$2,161.0","$5,381.1",3,"5,200",-,2019,0,0
573,Brookdale Senior Living,"$4,531.4",-4.5%,$-528.3,-,"$6,467.3","$1,227.8",-30,"54,300",-,2019,1,0
574,MDU Resources Group,"$4,531.1",2.0%,$272.3,-3.2%,"$6,988.1","$5,077.3",-14,"11,797",-,2019,0,0
575,Mattel,"$4,510.9",-7.6%,$-531.0,-,"$5,243.5","$4,490.2",-42,"27,000",-,2019,0,0
576,Universal Forest Products,"$4,489.2",13.9%,$148.6,24.3%,"$1,647.5","$1,833.2",34,"12,000",-,2019,0,0
577,Hubbell,"$4,481.7",22.2%,$360.2,48.2%,"$4,872.1","$6,430.5",55,"19,700",-,2019,0,0
578,CACI International,"$4,467.9",2.6%,$301.2,84.0%,"$4,034.2","$4,525.5",-4,"18,800",-,2019,0,0
579,Tutor Perini,"$4,454.7",-6.4%,$83.4,-43.8%,"$4,387.8",$857.8,-37,"8,200",-,2019,0,0
580,Hyatt Hotels,"$4,454.0",-4.9%,$769.0,208.8%,"$7,643.0","$7,691.4",-31,"54,000",-,2019,0,0
581,Silgan Holdings,"$4,448.9",8.8%,$224.0,-16.9%,"$4,579.3","$3,272.0",15,"13,220",-,2019,0,0
582,Moody's,"$4,442.7",5.7%,"$1,309.6",30.9%,"$9,526.2","$34,191.6",3,"13,057",-,2019,0,0
583,Tiffany,"$4,442.1",6.5%,$586.4,58.4%,"$5,333.0","$12,819.5",7,"14,200",-,2019,0,0
584,CF Industries Holdings,"$4,428.9",7.2%,$289.8,-19.0%,"$12,661.3","$9,091.6",10,"3,055",-,2019,0,0
585,Hub Group,"$4,423.1",9.6%,$201.7,49.3%,"$1,924.9","$1,420.5",14,"5,400",-,2019,0,0
586,Ryerson Holding,"$4,408.4",31.0%,$106.0,519.9%,"$2,086.3",$320.5,100,"4,600",-,2019,0,0
587,Syneos Health,"$4,390.1",64.3%,$24.3,-,"$7,254.9","$5,367.5",209,"24,000",-,2019,0,0
588,Vulcan Materials,"$4,382.9",12.7%,$515.8,-14.2%,"$9,832.1","$15,636.9",27,"8,782",-,2019,0,0
589,Westinghouse Air Brake,"$4,363.5",12.4%,$294.9,12.5%,"$8,649.2","$11,971.8",28,"18,000",-,2019,0,0
590,JELD-WEN Holding,"$4,346.7",15.5%,$144.4,1237.8%,"$3,051.1","$1,781.1",35,"23,000",-,2019,0,0
591,Broadridge Financial Solutions,"$4,329.9",4.5%,$427.9,30.9%,"$3,304.7","$11,994.9",1,"10,000",-,2019,0,0
592,Amkor Technology,"$4,316.5",3.1%,$127.1,-51.3%,"$4,495.4","$2,045.9",-5,"30,850",-,2019,0,0
593,CNO Financial Group,"$4,313.5",0.4%,$-315.0,-279.4%,"$31,439.8","$2,608.8",-13,"3,300",-,2019,0,0
594,CME Group,"$4,309.4",18.2%,"$1,962.2",-51.7%,"$77,475.7","$58,893.1",47,"4,590",-,2019,0,0
595,Globe Life,"$4,303.8",3.6%,$701.5,-51.8%,"$23,095.7","$9,040.2",-4,"3,102",-,2019,0,0
596,Encompass Health,"$4,277.3",7.7%,$292.3,14.0%,"$5,175.0","$5,766.6",10,"33,050",-,2019,0,0
597,Nasdaq,"$4,277.0",7.9%,$458.0,-37.6%,"$15,700.0","$14,472.3",11,"4,099",-,2019,1,0
598,Evergy,"$4,275.9",66.3%,$535.8,65.4%,"$25,598.1","$14,668.8",219,"4,832",-,2019,0,0
599,Leggett & Platt,"$4,269.5",8.3%,$305.9,4.5%,"$3,382.0","$5,540.2",10,"22,000",-,2019,0,0
600,IAC/InterActiveCorp,"$4,262.9",28.9%,$627.0,105.6%,"$6,874.6","$17,602.1",98,"7,800",-,2019,0,0
601,Martin Marietta Materials,"$4,244.3",7.0%,$470.0,-34.1%,"$9,551.4","$12,559.8",6,"8,714",-,2019,0,0
602,CA,"$4,235.0",4.9%,$476.0,-38.6%,"$13,060.0",-,-4,"11,300",-,2019,0,0
603,OneMain Holdings,"$4,232.0",12.7%,$447.0,144.3%,"$20,090.0","$4,317.7",23,"10,200",-,2019,0,0
604,Taylor Morrison Home,"$4,227.4",8.8%,$206.4,126.2%,"$5,264.4","$1,951.0",12,"2,300",-,2019,1,0
605,Iron Mountain,"$4,225.8",9.9%,$363.4,97.7%,"$11,852.2","$10,154.5",14,"26,200",-,2019,0,0
606,Laureate Education,"$4,219.9",-3.6%,$370.1,304.6%,"$6,769.6","$3,358.0",-38,"49,500",-,2019,0,0
607,Zebra Technologies,"$4,218.0",13.3%,$421.0,2376.5%,"$4,339.0","$11,287.5",21,"7,400",-,2019,0,0
608,Quad/Graphics,"$4,193.7",1.5%,$8.5,-92.1%,"$2,469.1",$610.7,-15,"20,600",-,2019,0,0
609,Meritor,"$4,178.0",24.8%,$117.0,-63.9%,"$2,726.0","$1,696.9",83,"8,600",-,2019,0,0
610,MRC Global,"$4,172.0",14.4%,$74.0,48.0%,"$2,434.0","$1,477.2",30,"3,773",-,2019,0,0
611,Concho Resources,"$4,151.0",60.5%,"$2,286.0",139.1%,"$26,294.0","$22,257.9",202,"1,503",-,2019,0,0
612,Church & Dwight,"$4,145.9",9.8%,$568.6,-23.5%,"$6,069.2","$17,517.8",11,"4,700",-,2019,0,0
613,Antero Resources,"$4,139.6",13.2%,$-397.5,-164.6%,"$15,519.5","$2,725.4",23,623,-,2019,0,1
614,Alexion Pharmaceuticals,"$4,131.2",16.3%,$77.6,-82.5%,"$13,931.9","$30,320.9",42,"2,656",-,2019,0,0
615,Bloomin' Brands,"$4,126.4",-2.1%,$107.1,6.8%,"$2,464.8","$1,873.9",-31,"93,000",-,2019,0,0
616,Buckeye Partners,"$4,108.3",12.6%,$-59.0,-112.3%,"$9,355.6","$5,460.6",23,"1,850",-,2019,0,0
617,Ingles Markets,"$4,092.8",2.3%,$97.4,80.7%,"$1,824.9",$559.6,-16,"17,940",-,2019,0,0
